,cooler_id,proba_mensual
198,0a104fd4b4d1b9bc6d91d31e7150f092ca3f70d0b313541706a682d7615b1f8a,1
1169,3b09d3fed04826214dbe7f1ed12d44dceaa5439ef0f0ac59afd0e60a17ef1146,1
2964,9a1ed8b60a11db001cab203b52e8a34aa3311e61e8c4633ad0cee142560adb71,1
1481,49ee85148d66dd8d6f8d57d401b41d3d5df27af0f0269a1786e9fc6cc5083ffd,1
3754,c3b701d7ce834cb58298c2658188e23b597ebb23f56b638aab9c79fa39bb0bf3,0.999999989
2178,709dd1e6bd61e07cac129c82a596b2cf7879f554f14c8bc99125dc98bccc8546,0.999999965
612,1ed3c87574c9826b7d5b3167c7a22ca75250d82eb2910b25928a15c34d506eb7,0.999999945
4014,d1f7f0a1d8cd4733996afde36daad773a348c34312bbc2a3cc998479bb126070,0.999999938
2321,7844a167045f6f715ef24171272dedb0c4ff88dda41e3646c1a65b33d21ab082,0.999999929
1808,5b4ba7fe8838e6e0244f5b1c9cdbd82475a1831259fd25fa265b60c606d1b523,0.999999802
1257,3ecc7c60be62efc515c8700f75bdf9b646531b1ae6a602d45f6986af27eee3de,0.999999787
1097,37d97b6ded3074bad73b068128782259f1ef6e4e43507d1a11deeba25c26b2b3,0.99999971
868,2b838c50bcd3488019c952f6ef955dae0f39fa7f9b4413d2ff22e9612a4656e7,0.999999704
2143,6e4f3b886cdf4e5d6f650df7325b8a5c3c74c53555e067c40325c1454515a433,0.999999691
3397,b28c7472eea0e37b357261a6a11db4934dc7318af6e418d10c5ec8f766656d6f,0.999999659
4149,d9014d27a0ea21fd13fb133baee63d38f91923a6575caffe43a2c87aca92397f,0.999999529
2416,7c497685cbae1f0ff49a445a1a7f18ef9d52ab77b8a28a90868162dcab830948,0.999999176
1951,63c54bf67b30cb265f6b887098d3b1431bf29c21de0309cda9a8a9f3393e57cc,0.999998893
534,1bd5fdfb347a048e813c184ef8a482a2bf23fac2d50c22eab8d4b67406886368,0.999998799
1485,4a0587b285ad354984c8da365c92001d6a9a79f20a1a490c571373251edf4194,0.99999878
654,20f0c6f39f890d9676a4322e5c5278018b95131c9f37f9af2ed6a2df29872df9,0.999998752
703,236529bce66193d277d7b13808a3051de7742592f133efcd80db5817441e5d89,0.999998244
2339,78f741b56f74694b971ffa7db0eed187e1fda80a8ce5c48bdf9ad8cc115466ae,0.999997593
1360,441936edf45f02604fb5c3eb7a72d722ed435265eeea94f47ac7f4834bf17ba9,0.999997554
2538,830304b137ae7623770e13da96f70258ae0bac7f0afd7f24201fc2d636b062ba,0.999997468
3990,d0804f65877e79d6e3a296c71c31116b90ffb19029ef71361d9c933605d78530,0.999997059
2518,81f4fd8cb804f9fe34c581c259b6dbaeeda706389ae3ab877c4d8b63ef48231a,0.99999704
4597,f250f1c19805c55d5e562b1e151bd7222e25708e86b4a2c0dab9099e7b5d0ba8,0.999996823
1174,3b4029693e23f77cebe07a5ab14a7b7bb09ada6850080a56954d9d42efada0f5,0.99999649
4694,f702c6048bb00423c9fd52eb4c8212ba160ad02b3db5bd1241499885f5fa669b,0.999996452
1433,479e37fd8b78267d3b2fd1c64254096f20f2201e15d51e0ee5a72e782c8ea432,0.999996435
1010,3348fe423e653b1d44a857255b48459c56e167b781529232829c4adcaa1056be,0.999996426
4583,f1af20c698445c0ba862861686bc9f4a8fee560c08038e2ccd5053d7a6f06e39,0.999996074
1489,4a40199a06c37377cf9049e84ff639394dee81b27b1d344423535086abd227c1,0.999995088
