cooler_id,door_opens,open_time,compressor,power,on_time,min_voltage,max_voltage,temperature,calday,warning,year,month,Target,Motive
000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,34.0,1.0,46.102,2.8333,24.0,110.0,130.0,4.8163,,1,2024,3,0,temperature
000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,27.0,13.0,40.4286,0.0,24.0,110.0,130.0,5.4878,,1,2024,3,0,temperature
000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,27.0,1.0,31.3061,1.0833,24.0,108.0,130.0,5.0571,,1,2024,3,0,temperature
000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,51.0,37.0,32.02,3.1667,24.0,110.0,124.0,5.03,,1,2024,3,0,temperature
000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,51.0,4.0,28.6,3.25,24.0,106.0,130.0,3.894,,1,2024,3,0,temperature
000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,58.0,4.0,35.8163,3.1667,24.0,108.0,124.0,4.6918,,1,2024,3,0,temperature
000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,27.0,1.0,32.1,0.0,24.0,108.0,128.0,5.13,,1,2024,3,0,temperature
000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,39.0,0.0,32.7083,0.0,24.0,110.0,122.0,4.6417,,1,2024,3,0,temperature
000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,232.0,71.0,65.5686,1.8333,24.0,110.0,134.0,9.3059,,1,2024,4,0,temperature
000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,202.0,22.0,95.3469,0.0,24.0,110.0,134.0,8.9408,,1,2024,4,0,temperature
000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,192.0,52.0,82.0,0.0,24.0,110.0,128.0,11.1863,,1,2024,4,1,temperature
000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,201.0,43.0,93.2449,0.0,24.0,110.0,130.0,11.8612,,1,2024,4,1,temperature
000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,242.0,73.0,91.3922,0.0,24.0,102.0,132.0,13.2941,,1,2024,4,1,temperature
000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,224.0,82.0,86.7255,2.0833,24.0,110.0,134.0,11.9588,,1,2024,4,1,temperature
000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,197.0,116.0,88.5882,0.0,24.0,106.0,134.0,11.402,,1,2024,4,1,temperature
000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,98.0,40.0,87.5102,0.0,24.0,108.0,120.0,9.6531,,1,2024,4,1,temperature
000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,230.0,37.0,89.8627,1.8333,24.0,110.0,126.0,9.8412,,1,2024,4,1,temperature
000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,185.0,27.0,93.98,2.5833,24.0,110.0,130.0,10.422,,1,2024,4,1,temperature
000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,199.0,76.0,93.5,2.25,24.0,108.0,126.0,11.452,,1,2024,4,1,temperature
000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,221.0,74.0,91.5102,0.6667,24.0,110.0,124.0,13.0531,,1,2024,4,1,temperature
000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,172.0,65.0,82.9815,4.0,24.0,110.0,128.0,14.1259,,1,2024,4,1,temperature
000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,150.0,60.0,86.566,2.25,24.0,106.0,128.0,14.3547,,1,2024,4,1,temperature
000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,171.0,98.0,83.6296,2.9167,24.0,110.0,128.0,14.3741,,1,2024,4,1,temperature
000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,174.0,42.0,85.7308,3.9167,24.0,108.0,128.0,12.9019,,1,2024,4,1,temperature
000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,178.0,32.0,87.7778,2.1667,24.0,106.0,126.0,12.8796,,1,2024,4,1,temperature
