cooler_id,door_opens,open_time,compressor,power,on_time,min_voltage,max_voltage,temperature,calday,warning,Motive,Target
3e2599f10b34afeb3cb4b3f02402c680a3a60b51411e34164b02a37aa2ff67e6,99,19,55.25,200.3333,24,86,124,4.6354,4/26/2025,0,None,0
3e2599f10b34afeb3cb4b3f02402c680a3a60b51411e34164b02a37aa2ff67e6,6,0,31.7708,111.8333,24,92,122,5.5417,4/25/2025,0,None,0
3e2599f10b34afeb3cb4b3f02402c680a3a60b51411e34164b02a37aa2ff67e6,72,3,37.3469,134.5,24,98,124,4.3816,4/30/2025,0,None,0
3e2599f10b34afeb3cb4b3f02402c680a3a60b51411e34164b02a37aa2ff67e6,11,0,40.1714,100.9167,17.5,90,124,5.3171,4/24/2025,0,None,0
3e2599f10b34afeb3cb4b3f02402c680a3a60b51411e34164b02a37aa2ff67e6,71,7,48.0208,170.4167,24,80,340,5.2417,4/23/2025,0,None,0
3e2599f10b34afeb3cb4b3f02402c680a3a60b51411e34164b02a37aa2ff67e6,81,8,48.5,169.3333,24,96,122,4.7271,4/29/2025,0,None,0
3e2599f10b34afeb3cb4b3f02402c680a3a60b51411e34164b02a37aa2ff67e6,90,4,50.3958,177.5,24,86,124,4.7021,4/28/2025,0,None,0
3e2599f10b34afeb3cb4b3f02402c680a3a60b51411e34164b02a37aa2ff67e6,79,6,41.6458,146.3333,24,78,122,4.3792,4/22/2025,0,None,0
3e2599f10b34afeb3cb4b3f02402c680a3a60b51411e34164b02a37aa2ff67e6,94,6,50.1042,177.9167,24,98,122,4.5042,4/27/2025,0,None,0
3e2599f10b34afeb3cb4b3f02402c680a3a60b51411e34164b02a37aa2ff67e6,68,3,41.4167,142.4167,24,96,124,4.6458,4/20/2025,0,None,0
3e2599f10b34afeb3cb4b3f02402c680a3a60b51411e34164b02a37aa2ff67e6,73,5,42.1458,144.6667,24,96,124,4.9458,4/19/2025,0,None,0
3e2599f10b34afeb3cb4b3f02402c680a3a60b51411e34164b02a37aa2ff67e6,91,12,47.1667,162.6667,24,96,128,4.2771,4/18/2025,0,None,0
3e2599f10b34afeb3cb4b3f02402c680a3a60b51411e34164b02a37aa2ff67e6,58,11,43.3125,152.25,24,92,124,5.0271,4/21/2025,0,None,0
3e2599f10b34afeb3cb4b3f02402c680a3a60b51411e34164b02a37aa2ff67e6,106,8,49.125,173,24,90,126,4.9917,4/17/2025,0,None,0
3e2599f10b34afeb3cb4b3f02402c680a3a60b51411e34164b02a37aa2ff67e6,99,4,55.3333,186.4167,24,76,120,6.1771,5/16/2024,0,None,0
3e2599f10b34afeb3cb4b3f02402c680a3a60b51411e34164b02a37aa2ff67e6,9,7,26.4,36.75,10,98,122,6.805,5/17/2024,0,None,0
3e2599f10b34afeb3cb4b3f02402c680a3a60b51411e34164b02a37aa2ff67e6,86,27,54.5435,181.6667,23,72,124,6.3804,5/15/2024,0,None,0
3e2599f10b34afeb3cb4b3f02402c680a3a60b51411e34164b02a37aa2ff67e6,10,0,20.35,28.1667,10,104,122,5.08,11/17/2023,0,None,0
3e2599f10b34afeb3cb4b3f02402c680a3a60b51411e34164b02a37aa2ff67e6,114,8,40.0625,133.1667,24,102,122,4.3917,8/31/2023,0,None,0
3e2599f10b34afeb3cb4b3f02402c680a3a60b51411e34164b02a37aa2ff67e6,114,12,39.625,132.1667,24,94,120,5.0583,8/30/2023,0,None,0
6bebe085683380916073df8dfbf201110f852c8ea85ef6288803a82e69173302,13,2,48.0714,0,7,106,122,3.6357,7/29/2023,0,None,0
6bebe085683380916073df8dfbf201110f852c8ea85ef6288803a82e69173302,10,0,48.7368,0,9.5,102,120,3.6737,7/27/2023,0,None,0
6bebe085683380916073df8dfbf201110f852c8ea85ef6288803a82e69173302,23,0,53.8889,0,9,98,124,3.5833,7/22/2023,0,None,0
6bebe085683380916073df8dfbf201110f852c8ea85ef6288803a82e69173302,22,2,49.1111,0,9,100,120,3.6167,8/22/2023,0,None,0
6bebe085683380916073df8dfbf201110f852c8ea85ef6288803a82e69173302,21,1,57.6429,0,7,106,122,3.7214,8/19/2023,0,None,0
6bebe085683380916073df8dfbf201110f852c8ea85ef6288803a82e69173302,25,6,47.9091,0,11,98,122,3.9136,8/29/2023,0,None,0
6bebe085683380916073df8dfbf201110f852c8ea85ef6288803a82e69173302,38,2,59.6818,0,11,98,122,3.2591,6/1/2023,0,None,0
6bebe085683380916073df8dfbf201110f852c8ea85ef6288803a82e69173302,21,0,44.0435,0,11.5,94,122,3.6609,5/30/2023,0,None,0
6bebe085683380916073df8dfbf201110f852c8ea85ef6288803a82e69173302,21,1,69.2174,0,11.5,86,120,3.5652,6/22/2023,0,None,0
6bebe085683380916073df8dfbf201110f852c8ea85ef6288803a82e69173302,24,2,56.619,0,10.5,102,124,3.9952,6/10/2023,0,None,0
6bebe085683380916073df8dfbf201110f852c8ea85ef6288803a82e69173302,17,4,71.7273,0,5.5,108,120,4.3364,10/10/2023,0,None,0
6bebe085683380916073df8dfbf201110f852c8ea85ef6288803a82e69173302,18,4,48.3913,0,11.5,98,120,3.5913,9/5/2023,0,None,0
6bebe085683380916073df8dfbf201110f852c8ea85ef6288803a82e69173302,27,1,39.5333,0,15,94,124,3.3933,4/30/2025,0,None,0
6bebe085683380916073df8dfbf201110f852c8ea85ef6288803a82e69173302,10,0,41.963,0,13.5,98,124,3.7222,4/29/2025,0,None,0
6bebe085683380916073df8dfbf201110f852c8ea85ef6288803a82e69173302,44,6,62.7931,0,14.5,94,122,3.3862,4/28/2025,0,None,0
b306b142c1f798a89a70ffe8fede8a55b62f36f770000a6ee5f8aeb1fd2b8b40,,0,,,24,,,,1/25/2025,0,None,0
b306b142c1f798a89a70ffe8fede8a55b62f36f770000a6ee5f8aeb1fd2b8b40,61,11,29.9583,0,24,118,126,4.7854,3/28/2025,0,None,0
b306b142c1f798a89a70ffe8fede8a55b62f36f770000a6ee5f8aeb1fd2b8b40,89,15,31.0833,0,24,118,126,4.7021,3/27/2025,0,None,0
b306b142c1f798a89a70ffe8fede8a55b62f36f770000a6ee5f8aeb1fd2b8b40,44,9,28.0208,0,24,118,126,5.4229,3/30/2025,0,None,0
b306b142c1f798a89a70ffe8fede8a55b62f36f770000a6ee5f8aeb1fd2b8b40,77,17,34.6042,0,24,118,126,4.6208,3/29/2025,0,None,0
b306b142c1f798a89a70ffe8fede8a55b62f36f770000a6ee5f8aeb1fd2b8b40,70,11,31.8958,0,24,118,126,4.8521,4/11/2025,0,None,0
b306b142c1f798a89a70ffe8fede8a55b62f36f770000a6ee5f8aeb1fd2b8b40,70,16,29.7083,0,24,118,126,4.7667,4/10/2025,0,None,0
b306b142c1f798a89a70ffe8fede8a55b62f36f770000a6ee5f8aeb1fd2b8b40,82,21,28.5833,0,24,118,124,4.8396,4/9/2025,0,None,0
b306b142c1f798a89a70ffe8fede8a55b62f36f770000a6ee5f8aeb1fd2b8b40,77,5,21.625,0,24,118,126,4.6625,4/8/2025,0,None,0
b306b142c1f798a89a70ffe8fede8a55b62f36f770000a6ee5f8aeb1fd2b8b40,76,17,20.6875,0,24,118,126,4.8167,4/7/2025,0,None,0
b306b142c1f798a89a70ffe8fede8a55b62f36f770000a6ee5f8aeb1fd2b8b40,47,6,30.6458,0,24,116,126,5.2292,4/13/2025,0,None,0
b306b142c1f798a89a70ffe8fede8a55b62f36f770000a6ee5f8aeb1fd2b8b40,69,9,36.3556,0,22.5,116,124,4.74,4/14/2025,0,None,0
b306b142c1f798a89a70ffe8fede8a55b62f36f770000a6ee5f8aeb1fd2b8b40,57,7,33.5,0,24,118,126,4.7354,4/12/2025,0,None,0
b306b142c1f798a89a70ffe8fede8a55b62f36f770000a6ee5f8aeb1fd2b8b40,21,3,13,0,24,120,126,5.6187,4/6/2025,0,None,0
b306b142c1f798a89a70ffe8fede8a55b62f36f770000a6ee5f8aeb1fd2b8b40,51,11,22.0208,0,24,120,128,4.7646,4/5/2025,0,None,0
b306b142c1f798a89a70ffe8fede8a55b62f36f770000a6ee5f8aeb1fd2b8b40,75,11,29.5208,0,24,120,126,4.6479,4/4/2025,0,None,0
b306b142c1f798a89a70ffe8fede8a55b62f36f770000a6ee5f8aeb1fd2b8b40,91,17,32.2292,0,24,118,126,4.7167,4/3/2025,0,None,0
b306b142c1f798a89a70ffe8fede8a55b62f36f770000a6ee5f8aeb1fd2b8b40,81,16,32.9792,0,24,118,126,4.6812,4/2/2025,0,None,0
b306b142c1f798a89a70ffe8fede8a55b62f36f770000a6ee5f8aeb1fd2b8b40,79,15,34.0208,0,24,118,126,4.6833,4/1/2025,0,None,0
b306b142c1f798a89a70ffe8fede8a55b62f36f770000a6ee5f8aeb1fd2b8b40,73,9,34.2292,0,24,118,126,4.7104,3/31/2025,0,None,0
b306b142c1f798a89a70ffe8fede8a55b62f36f770000a6ee5f8aeb1fd2b8b40,68,9,24.625,0,24,118,126,4.8146,3/3/2025,0,None,0
b306b142c1f798a89a70ffe8fede8a55b62f36f770000a6ee5f8aeb1fd2b8b40,45,6,23.4063,0,16,118,126,5.0062,3/4/2025,0,None,0
b306b142c1f798a89a70ffe8fede8a55b62f36f770000a6ee5f8aeb1fd2b8b40,26,8,18.375,0,24,116,126,5.65,3/2/2025,0,None,0
b306b142c1f798a89a70ffe8fede8a55b62f36f770000a6ee5f8aeb1fd2b8b40,42,7,21.4375,0,24,118,126,4.8,3/1/2025,0,None,0
b306b142c1f798a89a70ffe8fede8a55b62f36f770000a6ee5f8aeb1fd2b8b40,,0,,,24,,,,3/29/2025,0,None,0
b306b142c1f798a89a70ffe8fede8a55b62f36f770000a6ee5f8aeb1fd2b8b40,,0,,,24,,,,3/25/2025,0,None,0
6570129930ab338a82d66167ca6dbaca935e90fb8b2f1cf68147ab9eaeed6b6c,,0,,,24,,,,9/30/2024,0,None,0
6570129930ab338a82d66167ca6dbaca935e90fb8b2f1cf68147ab9eaeed6b6c,186,19,56.9167,285.5833,24,102,118,4.3625,3/16/2025,0,None,0
6570129930ab338a82d66167ca6dbaca935e90fb8b2f1cf68147ab9eaeed6b6c,232,29,58.5625,291.1667,24,102,114,4.0583,3/15/2025,0,None,0
